"","Policy.Number","Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","cluster","clusterfactor"
"103",190621,16,0,1,1,1,15,0,1,"1"
"104",142474,66,48,1,1,1,10,0,3,"3"
"105",194236,63,43,1,0,1,10,0,3,"3"
"106",185366,52,34,1,1,0,5,1,2,"2"
"107",142085,25,7,1,0,0,11,0,1,"1"
"108",114164,38,20,1,0,0,3,1,2,"2"
"109",164185,25,6,1,0,1,8,1,1,"1"
"110",103178,50,32,1,0,1,15,0,2,"2"
"111",140879,35,15,1,1,1,9,0,2,"2"
"112",174443,64,45,1,0,1,13,0,3,"3"
"113",121044,68,49,1,0,0,2,0,3,"3"
"114",185091,63,45,1,0,0,3,0,3,"3"
"115",104797,24,7,1,1,1,9,1,1,"1"
"116",136204,58,38,1,0,0,10,0,3,"3"
"117",112619,17,0,1,1,1,8,1,1,"1"
"118",178782,16,0,1,0,1,12,1,1,"1"
"119",130506,20,1,1,1,1,13,1,1,"1"
"120",107433,58,38,1,0,0,14,0,3,"3"
"121",122086,50,33,1,1,0,11,0,2,"2"
"122",120837,58,37,1,1,1,9,0,3,"3"
"123",119860,23,5,1,1,1,15,1,1,"1"
"124",100079,20,3,1,1,0,1,1,1,"1"
"125",107878,52,35,1,1,0,15,0,3,"3"
"126",111243,36,16,1,1,0,0,0,2,"2"
"127",141643,37,16,1,0,1,13,0,2,"2"
"128",121584,61,40,1,0,0,9,0,3,"3"
"129",183067,29,11,1,0,0,0,0,1,"1"
"130",184637,21,2,1,0,1,15,0,1,"1"
"131",129471,22,4,1,0,0,15,0,1,"1"
"132",181752,31,13,1,0,1,9,0,1,"1"
"133",145728,60,42,1,1,1,0,0,3,"3"
"134",138354,44,25,1,0,1,3,0,2,"2"
"135",149411,16,0,1,1,1,13,1,1,"1"
"136",155379,18,1,1,0,0,15,0,1,"1"
"137",189763,66,47,1,1,0,5,0,3,"3"
"138",115565,70,52,1,0,0,12,0,3,"3"
"139",179862,19,0,1,1,0,11,0,1,"1"
"140",156612,49,30,1,1,1,9,0,2,"2"
"141",160282,18,0,1,1,1,12,1,1,"1"
"142",181059,24,5,1,0,1,2,1,1,"1"
"143",146711,66,46,1,0,1,4,0,3,"3"
"144",198926,70,49,1,0,1,13,0,3,"3"
"145",108827,25,7,1,0,1,7,0,1,"1"
"146",165557,26,8,1,1,1,15,0,1,"1"
"147",192032,23,6,1,1,1,12,0,1,"1"
"148",167570,35,18,1,0,1,9,0,2,"2"
"149",172196,25,6,1,1,1,12,1,1,"1"
"150",104695,65,46,1,0,1,6,0,3,"3"
"151",109581,70,50,1,0,1,14,0,3,"3"
"152",125470,26,5,1,1,1,2,1,1,"1"
"153",146889,43,22,1,1,1,8,0,2,"2"
"154",183736,18,1,1,1,0,10,1,1,"1"
"155",188360,39,18,1,1,1,5,1,2,"2"
"156",137629,20,2,1,1,0,13,0,1,"1"
"157",123394,34,13,1,0,0,12,0,1,"1"
"158",111554,69,50,1,0,1,7,0,3,"3"
"159",164809,70,53,1,0,1,10,0,3,"3"
"160",125588,25,7,1,1,1,7,1,1,"1"
"161",110830,22,5,1,0,1,10,0,1,"1"
"162",130427,57,38,1,0,0,4,1,3,"3"
"163",116082,51,31,1,1,0,0,1,2,"2"
"164",146750,19,0,1,0,0,12,1,1,"1"
"165",101703,64,45,1,0,0,4,0,3,"3"
"166",165002,62,42,1,0,1,10,0,3,"3"
"167",133073,22,5,1,1,1,14,1,1,"1"
"168",199193,46,27,1,1,1,3,1,2,"2"
"169",169904,56,36,1,1,1,7,1,3,"3"
"170",164381,19,2,1,1,0,12,0,1,"1"
"171",101325,25,8,1,0,0,15,0,1,"1"
"172",125818,61,42,1,0,1,8,0,3,"3"
"173",150975,35,17,1,1,1,10,0,2,"2"
"174",136723,64,46,1,1,1,7,0,3,"3"
"175",115009,41,22,1,0,1,13,0,2,"2"
"176",183198,66,46,1,1,1,1,1,3,"3"
"177",118167,62,43,1,1,1,6,0,3,"3"
"178",181893,46,28,1,0,1,5,1,2,"2"
"179",193579,29,10,1,1,0,12,0,1,"1"
"180",134526,65,44,1,1,1,14,0,3,"3"
"181",162909,60,39,1,1,0,1,0,3,"3"
"182",160490,41,22,1,1,0,4,1,2,"2"
"183",100366,46,26,1,0,0,12,0,2,"2"
"184",139754,41,24,1,0,1,10,0,2,"2"
"185",159663,24,6,1,0,1,11,1,1,"1"
"186",153203,62,42,1,0,0,14,0,3,"3"
"187",109485,36,15,1,0,0,2,0,2,"2"
"188",159668,24,6,1,1,1,12,1,1,"1"
"189",148260,49,28,1,1,0,13,0,2,"2"
"190",180191,20,3,1,0,1,14,0,1,"1"
"191",180237,52,31,1,0,0,10,0,2,"2"
"192",139893,21,4,1,0,1,15,0,1,"1"
"193",155317,58,39,1,1,1,0,1,3,"3"
"194",102276,36,17,1,0,0,13,0,2,"2"
"195",115581,18,0,1,0,0,13,0,1,"1"
"196",156261,21,3,1,0,1,14,1,1,"1"
"197",192333,60,43,1,0,0,6,0,3,"3"
"198",111841,63,44,1,0,1,4,0,3,"3"
"199",174729,64,45,1,1,1,11,0,3,"3"
"200",179628,22,5,1,1,0,12,0,1,"1"
"201",154549,22,3,1,0,0,1,1,1,"1"
"202",181334,26,5,1,0,0,11,0,1,"1"
"203",165949,19,0,1,0,1,9,0,1,"1"
"204",190391,28,9,1,1,0,2,0,1,"1"
"205",115290,24,5,1,1,0,0,1,1,"1"
"206",100313,60,39,1,0,1,10,0,3,"3"
"207",151108,20,2,1,0,0,11,0,1,"1"
"208",149292,43,25,1,1,0,0,1,2,"2"
"209",158875,23,4,1,1,0,14,1,1,"1"
"210",191995,48,27,1,1,0,5,1,2,"2"
"211",129391,40,23,1,1,1,6,0,2,"2"
"212",136475,64,44,1,1,1,10,0,3,"3"
"213",123896,23,6,1,1,0,6,0,1,"1"
"214",187193,38,21,1,1,0,9,0,2,"2"
"215",193212,19,0,1,1,0,7,0,1,"1"
"216",108450,62,42,1,1,0,10,0,3,"3"
"217",169347,23,4,1,1,0,15,0,1,"1"
"218",164942,34,13,1,0,0,2,0,2,"2"
"219",141819,64,47,1,1,1,14,0,3,"3"
"220",111740,63,42,1,1,1,7,0,3,"3"
"221",193972,28,11,1,0,0,14,0,1,"1"
"222",125668,16,0,1,1,0,12,0,1,"1"
"223",161764,29,11,1,0,1,0,1,1,"1"
"224",154044,17,0,1,0,0,15,0,1,"1"
"225",153568,55,34,1,0,0,2,1,3,"3"
"226",188603,52,31,1,1,0,10,0,2,"2"
"227",160890,30,9,1,1,1,13,0,1,"1"
"228",114690,16,0,1,0,0,15,0,1,"1"
"229",117035,23,5,1,0,1,6,1,1,"1"
"230",161490,70,49,1,0,0,14,0,3,"3"
"231",173164,18,0,1,0,0,15,0,1,"1"
"232",143977,27,7,1,0,0,1,0,1,"1"
"233",163639,47,28,1,1,0,1,1,2,"2"
"234",149434,18,1,1,0,1,12,0,1,"1"
"235",149512,19,2,1,0,1,9,1,1,"1"
"236",157115,27,8,1,0,1,7,0,1,"1"
"237",175097,47,28,1,1,0,13,0,2,"2"
"238",196651,70,52,1,0,1,7,0,3,"3"
"239",195249,53,33,1,0,0,6,0,2,"2"
"240",127336,21,2,1,1,0,3,1,1,"1"
"241",137641,43,23,1,1,0,0,1,2,"2"
"242",165330,65,44,1,0,0,8,0,3,"3"
"243",192598,30,13,1,0,1,1,1,1,"1"
"244",146908,48,30,1,1,0,12,0,2,"2"
"245",180115,16,0,1,0,0,15,0,1,"1"
"246",177343,63,46,1,1,1,9,0,3,"3"
"247",117839,40,22,1,0,1,2,1,2,"2"
"248",149617,46,27,1,1,0,10,0,2,"2"
"249",126692,56,35,1,0,0,5,1,3,"3"
"250",111093,19,2,1,0,0,14,0,1,"1"
"251",135757,33,12,1,1,1,10,0,1,"1"
"252",117846,57,38,1,0,1,4,0,3,"3"
"253",155784,56,36,1,1,1,14,0,3,"3"
"254",164611,25,8,1,1,0,14,0,1,"1"
"255",121723,55,34,1,1,1,12,1,3,"3"
"256",133288,40,20,1,1,1,8,0,2,"2"
"257",190115,46,28,1,0,1,13,0,2,"2"
"258",127988,42,21,1,1,0,11,0,2,"2"
"259",132030,27,8,1,0,0,15,0,1,"1"
"260",101870,46,27,1,1,0,10,0,2,"2"
"261",140905,25,8,1,0,0,15,0,1,"1"
"262",198778,42,24,1,1,0,9,0,2,"2"
"263",126147,64,46,1,0,1,7,0,3,"3"
"264",160412,34,14,1,1,1,2,1,2,"2"
"265",103140,64,44,1,0,1,14,0,3,"3"
"266",149881,34,16,1,0,1,1,0,2,"2"
"267",144509,37,20,1,0,0,14,0,2,"2"
"268",168461,21,3,1,1,1,15,1,1,"1"
"269",168054,68,50,1,1,0,0,0,3,"3"
"270",146863,26,9,1,0,1,11,0,1,"1"
"271",120221,51,34,1,0,0,8,0,2,"2"
"272",129905,69,51,1,0,1,5,0,3,"3"
"273",134778,38,20,1,1,1,7,1,2,"2"
"274",197721,64,45,1,1,1,0,0,3,"3"
"275",136859,62,44,1,0,0,4,0,3,"3"
"276",190111,70,50,1,1,0,2,0,3,"3"
"277",130480,27,9,1,0,0,6,0,1,"1"
"278",196071,24,5,1,1,0,11,0,1,"1"
"279",173780,24,6,1,0,0,15,0,1,"1"
"280",148128,70,50,1,0,0,5,0,3,"3"
"281",134743,46,28,1,0,1,8,0,2,"2"
"282",100484,61,41,1,1,1,11,0,3,"3"
"283",134903,70,53,1,1,1,12,0,3,"3"
"284",195830,51,32,1,0,1,0,1,2,"2"
"285",113558,49,31,1,0,1,0,1,2,"2"
"286",167211,34,13,1,1,1,5,1,2,"2"
"287",115864,25,7,1,1,0,12,1,1,"1"
"288",162203,24,5,1,1,1,15,0,1,"1"
"289",167577,36,15,1,0,1,4,1,2,"2"
"290",142500,20,3,1,0,1,14,0,1,"1"
"291",159595,20,1,1,0,1,12,1,1,"1"
"292",168966,70,53,1,0,1,8,0,3,"3"
"293",133980,22,4,1,1,0,12,1,1,"1"
"294",124584,61,44,1,1,1,6,0,3,"3"
"295",122265,20,2,1,1,0,14,1,1,"1"
"296",141110,21,4,1,1,0,12,0,1,"1"
"297",117962,19,0,1,0,0,6,1,1,"1"
"298",171724,66,49,1,0,1,0,0,3,"3"
"299",139558,63,44,1,1,1,3,0,3,"3"
"300",105488,51,30,1,0,1,0,1,2,"2"
"301",168484,37,17,1,1,0,12,0,2,"2"
"302",189773,16,0,1,1,0,14,1,1,"1"
"303",153899,21,4,1,1,0,15,0,1,"1"
"304",129663,23,6,1,0,0,15,0,1,"1"
"305",101567,63,44,1,0,1,0,0,3,"3"
"306",163248,63,42,1,1,0,5,0,3,"3"
"307",148293,52,32,1,1,0,13,0,2,"2"
"308",184812,30,10,1,1,0,0,0,1,"1"
"309",105539,21,4,1,0,0,7,0,1,"1"
"310",173771,63,46,1,1,0,2,0,3,"3"
"311",137967,45,27,1,0,0,3,0,2,"2"
"312",102783,61,41,1,0,0,15,0,3,"3"
"313",184349,34,16,1,1,0,11,0,2,"2"
"314",190032,16,0,1,0,1,11,1,1,"1"
"315",112590,23,5,1,1,0,9,0,1,"1"
"316",137410,25,7,1,0,0,15,0,1,"1"
"317",186036,16,0,1,1,0,10,0,1,"1"
"318",176062,30,9,1,0,0,8,0,1,"1"
"319",100180,48,29,1,0,0,5,1,2,"2"
"320",110357,17,0,1,0,0,11,0,1,"1"
"321",145580,69,49,1,1,0,0,0,3,"3"
"322",104748,28,9,1,1,1,9,0,1,"1"
"323",146750,29,9,1,0,0,6,0,1,"1"
"324",192607,24,7,1,1,1,14,1,1,"1"
"325",146111,67,48,1,0,0,0,0,3,"3"
"326",143694,45,28,1,0,1,15,0,2,"2"
"327",148898,38,19,1,1,1,2,1,2,"2"
"328",141146,50,31,1,1,1,4,1,2,"2"
"329",166390,51,32,1,1,1,7,0,2,"2"
"330",180607,44,23,1,0,1,9,0,2,"2"
"331",179326,52,33,1,1,0,13,0,2,"2"
"332",185143,21,2,1,1,0,11,0,1,"1"
"333",136163,20,1,1,0,0,11,0,1,"1"
"334",154374,70,49,1,1,1,2,1,3,"3"
"335",199927,60,40,1,1,0,13,0,3,"3"
"336",199878,33,15,1,1,0,0,1,2,"2"
"337",188214,16,0,1,0,0,8,0,1,"1"
"338",101548,19,2,1,1,0,6,0,1,"1"
"339",166046,62,45,1,0,0,6,0,3,"3"
"340",138579,35,17,1,1,0,12,0,2,"2"
"341",127036,16,0,1,0,1,15,1,1,"1"
"342",121820,34,14,1,0,0,12,0,2,"2"
"343",169545,26,8,1,1,1,7,0,1,"1"
"344",169825,23,4,1,1,0,13,0,1,"1"
"345",144994,48,31,1,0,1,4,1,2,"2"
"346",139461,33,14,1,0,0,8,0,2,"2"
"347",163644,33,15,1,1,0,1,1,2,"2"
"348",129990,57,40,1,0,1,7,0,3,"3"
"349",131839,61,41,1,0,0,7,0,3,"3"
"350",181986,70,49,1,1,0,1,0,3,"3"
"351",154666,61,40,1,1,0,10,0,3,"3"
"352",182160,24,5,1,1,0,15,1,1,"1"
"353",177869,39,21,1,1,1,8,0,2,"2"
"354",110303,52,32,1,0,1,14,0,2,"2"
"355",169168,25,7,1,1,0,14,0,1,"1"
"356",185206,67,46,1,0,0,7,0,3,"3"
"357",152972,25,6,1,1,0,11,1,1,"1"
"358",113499,56,38,1,0,1,6,0,3,"3"
"359",195644,26,8,1,1,0,9,0,1,"1"
"360",103619,63,43,1,0,0,13,0,3,"3"
"361",130134,62,42,1,0,1,9,0,3,"3"
"362",114614,52,31,1,1,0,7,0,2,"2"
"363",188548,53,35,1,1,0,9,0,3,"3"
"364",135088,34,15,1,1,0,14,0,2,"2"
"365",151309,17,0,1,1,0,8,0,1,"1"
"366",196582,17,0,1,0,0,13,0,1,"1"
"367",155991,64,46,1,1,0,8,0,3,"3"
"368",146137,68,51,1,1,1,6,0,3,"3"
"369",109884,18,0,1,1,0,15,0,1,"1"
"370",135730,31,12,1,1,1,2,1,1,"1"
"371",190584,18,1,1,0,0,14,0,1,"1"
"372",147410,67,46,1,0,0,6,0,3,"3"
"373",159859,69,49,1,0,0,14,0,3,"3"
"374",161857,49,30,1,0,1,7,0,2,"2"
"375",177000,22,4,1,1,0,8,0,1,"1"
"376",120501,59,40,1,1,1,2,1,3,"3"
"377",161478,17,0,1,1,1,13,1,1,"1"
"378",118010,62,43,1,1,0,3,0,3,"3"
"379",191306,44,23,1,0,1,4,1,2,"2"
"380",101617,25,6,1,0,1,14,0,1,"1"
"381",165122,54,34,1,1,0,9,0,3,"3"
"382",150893,22,3,1,0,1,14,0,1,"1"
"383",171784,23,5,1,1,0,7,1,1,"1"
"384",192894,60,39,1,0,1,10,0,3,"3"
"385",184178,21,2,1,1,0,0,1,1,"1"
"386",117590,19,0,1,1,1,13,0,1,"1"
"387",103030,24,6,1,0,0,12,0,1,"1"
"388",139116,66,47,1,0,1,12,0,3,"3"
"389",133134,31,13,1,0,1,5,1,1,"1"
"390",127011,42,25,1,1,1,14,0,2,"2"
"391",105550,37,19,1,1,0,10,0,2,"2"
"392",137242,32,12,1,0,0,9,0,1,"1"
"393",103067,56,38,1,0,1,12,0,3,"3"
"394",128105,57,39,1,0,1,11,0,3,"3"
"395",183795,67,48,1,0,0,14,0,3,"3"
"396",172178,24,5,1,1,0,14,0,1,"1"
"397",180064,55,38,1,1,0,6,0,3,"3"
"398",110870,36,17,1,1,0,9,0,2,"2"
"399",196933,17,0,1,1,1,7,1,1,"1"
"400",156933,23,4,1,1,1,11,1,1,"1"
"401",157911,61,42,1,1,0,12,0,3,"3"
"402",163306,48,29,1,0,1,10,0,2,"2"
"403",161277,25,6,1,0,1,12,1,1,"1"
"404",117086,16,0,1,1,0,12,1,1,"1"
"405",158744,41,21,1,1,1,15,0,2,"2"
"406",195112,21,4,1,1,0,4,1,1,"1"
"407",192661,25,8,1,0,0,14,0,1,"1"
"408",116768,55,36,1,0,0,14,0,3,"3"
"409",178402,22,3,1,0,1,14,1,1,"1"
"410",157188,19,0,1,0,0,0,0,1,"1"
"411",119640,28,11,1,1,0,11,0,1,"1"
"412",106186,21,2,1,0,1,13,1,1,"1"
"413",136386,43,22,1,0,0,0,0,2,"2"
"414",172482,45,26,1,0,1,7,0,2,"2"
"415",190872,18,0,1,1,1,9,1,1,"1"
"416",112220,19,2,1,0,0,11,0,1,"1"
"417",162140,35,16,1,0,1,10,0,2,"2"
"418",172063,63,46,1,0,1,3,0,3,"3"
"419",159881,39,20,1,1,0,15,0,2,"2"
"420",158441,16,0,1,0,1,11,0,1,"1"
"421",139083,23,4,1,1,0,6,1,1,"1"
"422",126513,17,0,1,1,0,6,0,1,"1"
"423",157712,17,0,1,1,0,11,0,1,"1"
"424",123461,20,2,1,0,0,12,0,1,"1"
"425",110371,56,35,1,0,1,13,0,3,"3"
"426",178117,26,5,1,0,0,7,0,1,"1"
"427",180764,17,0,1,1,0,13,1,1,"1"
"428",120396,53,34,1,1,1,14,0,3,"3"
"429",160342,31,10,1,1,0,14,0,1,"1"
"430",100931,19,1,1,0,0,12,0,1,"1"
"431",111247,26,8,1,0,1,3,1,1,"1"
"432",146672,29,12,1,0,1,12,0,1,"1"
"433",186335,47,28,1,1,0,15,0,2,"2"
"434",134430,24,5,1,1,1,15,1,1,"1"
"435",173346,18,1,1,0,0,15,0,1,"1"
"436",100739,68,50,1,1,0,7,0,3,"3"
"437",124356,18,0,1,0,0,12,0,1,"1"
"438",122304,67,49,1,0,0,6,0,3,"3"
"439",148403,70,53,1,1,1,10,0,3,"3"
"440",169949,28,11,1,1,1,4,1,1,"1"
"441",165319,69,51,1,1,1,3,0,3,"3"
"442",103054,28,9,1,1,0,15,0,1,"1"
"443",139550,63,45,1,1,0,12,0,3,"3"
"444",153354,25,8,1,0,1,12,1,1,"1"
"445",140938,55,38,1,0,1,14,0,3,"3"
"446",149303,25,6,1,0,0,9,0,1,"1"
"447",166431,57,38,1,0,0,2,1,3,"3"
"448",128867,16,0,1,1,0,12,0,1,"1"
"449",186334,22,4,1,0,1,10,0,1,"1"
"450",129404,50,31,1,1,0,10,0,2,"2"
"451",138395,24,5,1,1,0,13,0,1,"1"
"452",191140,45,26,1,0,1,10,0,2,"2"
"453",133591,49,29,1,0,1,6,0,2,"2"
"454",104826,62,45,1,1,0,14,0,3,"3"
"455",164938,16,0,1,1,1,15,1,1,"1"
"456",139800,50,33,1,0,0,10,0,2,"2"
"457",134774,43,23,1,1,0,10,0,2,"2"
"458",124523,17,0,1,1,1,12,1,1,"1"
"459",122527,19,1,1,1,0,13,1,1,"1"
"460",105418,65,47,1,0,1,8,0,3,"3"
"461",172805,17,0,1,1,0,12,0,1,"1"
"462",105262,38,21,1,0,1,9,0,2,"2"
"463",158249,48,28,1,0,0,10,0,2,"2"
"464",170144,46,25,1,1,1,15,0,2,"2"
"465",191160,25,8,1,0,0,12,0,1,"1"
"466",191628,31,14,1,1,1,8,0,1,"1"
"467",198045,44,27,1,1,1,1,1,2,"2"
"468",155792,41,20,1,0,1,15,0,2,"2"
"469",132277,17,0,1,0,1,5,1,1,"1"
"470",147909,29,9,1,0,0,14,0,1,"1"
"471",182915,32,14,1,0,1,13,0,1,"1"
"472",143075,61,40,1,0,0,1,0,3,"3"
"473",104525,28,8,1,0,1,1,1,1,"1"
"474",154713,17,0,1,1,1,11,1,1,"1"
"475",150038,55,34,1,0,1,9,0,3,"3"
"476",183774,20,3,1,1,0,13,0,1,"1"
"477",131000,70,53,1,1,0,0,0,3,"3"
"478",142771,46,27,1,0,0,15,0,2,"2"
"479",193862,37,19,1,0,0,1,0,2,"2"
"480",175991,65,48,1,1,0,7,0,3,"3"
"481",112584,17,0,1,0,1,12,0,1,"1"
"482",178839,35,16,1,1,1,9,1,2,"2"
"483",178579,42,23,1,0,0,7,0,2,"2"
"484",188144,25,6,1,0,0,9,0,1,"1"
"485",168426,32,12,1,0,0,0,0,1,"1"
"486",121837,26,5,1,0,1,6,0,1,"1"
"487",185498,24,7,1,1,1,14,1,1,"1"
"488",187994,18,0,1,1,1,12,0,1,"1"
"489",144980,51,32,1,1,1,13,0,2,"2"
"490",165791,47,30,1,1,1,15,0,2,"2"
"491",136578,21,4,1,0,1,10,1,1,"1"
"492",104486,20,3,1,1,1,12,1,1,"1"
"493",127936,66,48,1,0,1,3,0,3,"3"
"494",142200,65,47,1,0,1,6,0,3,"3"
"495",132773,30,12,1,0,0,8,0,1,"1"
"496",174649,24,7,1,0,1,8,1,1,"1"
"497",107218,35,18,1,1,0,11,0,2,"2"
"498",110966,17,0,1,0,1,0,1,1,"1"
"499",134067,41,22,1,0,0,8,0,2,"2"
"500",198001,41,24,1,0,0,7,0,2,"2"
"501",112751,39,22,1,0,1,14,0,2,"2"
"502",110330,16,0,1,1,0,14,0,1,"1"
"503",152850,41,20,1,0,0,14,0,2,"2"
"504",137449,28,9,1,1,0,2,1,1,"1"
"505",146254,66,45,1,1,0,9,0,3,"3"
"506",177554,23,4,1,1,0,14,1,1,"1"
"507",161868,64,45,1,0,0,1,0,3,"3"
"508",157353,66,47,1,1,1,8,0,3,"3"
"509",127572,25,7,1,1,1,9,1,1,"1"
"510",110946,29,11,1,1,1,0,1,1,"1"
"511",179609,64,47,1,0,1,11,0,3,"3"
"512",108007,22,5,1,0,1,14,0,1,"1"
"513",139453,69,51,1,1,1,4,0,3,"3"
"514",165686,24,5,1,0,0,14,0,1,"1"
"515",108319,18,1,1,0,1,10,1,1,"1"
"516",144855,69,48,1,1,1,7,0,3,"3"
"517",163531,19,2,1,0,0,15,0,1,"1"
"518",150077,70,51,1,1,0,2,0,3,"3"
"519",191011,38,21,1,0,1,0,1,2,"2"
"520",191637,44,25,1,0,1,11,0,2,"2"
"521",118853,64,44,1,0,1,9,0,3,"3"
"522",190042,43,25,1,1,0,7,0,2,"2"
"523",113232,18,0,1,1,1,13,1,1,"1"
"524",129426,55,38,1,1,0,6,0,3,"3"
"525",161923,35,17,1,0,1,11,0,2,"2"
"526",143315,70,52,1,1,0,15,0,3,"3"
"527",112537,22,5,1,0,0,7,0,1,"1"
"528",189651,26,7,1,0,0,6,0,1,"1"
"529",175053,27,7,1,1,0,9,0,1,"1"
"530",149333,32,15,1,0,1,10,0,2,"2"
"531",106020,25,7,1,1,0,1,1,1,"1"
