transaction_id,Prod1,Prod2,Prod3
100131,B,F,H
100132,B,G,I
100133,C,G,H
100134,C,G,H
100135,B,E,I
100136,B,F,I
100137,B,G,I
100138,A,F,I
100139,D,F,I
100140,D,G,I
100141,D,E,I
100142,B,G,I
100143,C,F,I
100144,B,G,I
100145,A,G,I
100146,C,F,H
100147,B,F,H
100148,D,E,I
100149,C,E,H
100150,B,G,I
100151,C,E,H
100152,B,G,I
100153,B,E,I
100154,B,E,I
100155,C,F,H
100156,D,F,I
100157,D,G,H
100158,A,E,H
100159,C,F,H
100160,D,F,H
100161,C,F,H
100162,C,E,I
100163,B,F,I
100164,D,E,I
100165,D,G,H
100166,B,F,H
100167,B,E,H
100168,B,E,I
100169,D,F,H
100170,B,G,H
100171,D,F,I
100172,A,E,I
100173,B,E,H
100174,D,E,H
100175,C,F,H
100176,B,F,I
100177,D,F,H
100178,B,F,H
100179,C,E,I
100180,A,F,I
100181,B,G,I
100182,D,E,H
100183,B,E,H
100184,D,E,H
100185,B,F,H
100186,C,E,I
100187,B,E,I
100188,A,E,H
100189,B,G,I
100190,D,F,I
100191,D,F,I
100192,B,E,I
100193,A,G,H
100194,B,G,H
100195,C,G,I
100196,A,G,I
100197,A,G,I
100198,C,E,H
100199,C,F,H
100200,C,G,I
100201,A,F,H
100202,C,E,H
100203,D,E,H
100204,B,F,H
100205,C,F,H
100206,C,E,H
100207,A,F,H
100208,C,F,I
100209,B,F,I
100210,B,F,H
100211,D,F,I
100212,B,F,I
100213,C,F,H
100214,C,G,H
100215,B,E,I
100216,A,E,I
100217,D,F,I
100218,A,G,I
100219,D,F,I
100220,B,E,H
100221,A,F,I
100222,D,G,H
100223,A,G,I
100224,A,G,H
100225,B,E,H
100226,A,E,I
100227,C,F,H
100228,C,E,I
100229,C,G,H
100230,C,E,I
100231,B,F,I
100232,D,E,I
100233,A,F,I
100234,A,F,I
100235,C,E,I
100236,C,E,I
100237,D,F,I
100238,D,E,H
100239,B,F,H
100240,A,E,I
100241,D,E,I
100242,D,G,H
100243,D,F,I
100244,B,G,I
100245,B,G,I
100246,C,G,I
100247,A,F,H
100248,C,G,H
100249,A,G,H
100250,B,G,H
100251,A,F,I
100252,B,F,I
100253,D,G,I
100254,C,F,H
100255,B,E,I
100256,A,E,I
100257,B,G,H
100258,C,F,I
100259,D,F,I
100260,D,G,H
100261,D,F,I
100262,D,G,H
100263,B,E,I
100264,C,F,H
100265,A,E,H
100266,A,F,I
100267,A,F,H
100268,D,E,I
100269,C,E,H
100270,D,E,H
100271,B,E,H
100272,A,F,I
100273,C,E,I
100274,C,E,H
100275,D,G,H
100276,D,F,I
100277,D,E,H
100278,C,F,I
100279,B,G,H
100280,D,F,I
100281,B,G,I
100282,A,E,I
100283,B,G,H
100284,D,F,I
100285,A,G,I
100286,A,E,I
100287,A,F,H
100288,B,F,I
100289,C,E,H
100290,A,G,I
100291,D,G,H
100292,C,E,H
100293,D,G,H
100294,B,G,H
100295,A,G,H
100296,C,F,I
100297,A,E,H
100298,D,G,H
100299,B,E,I
100300,C,G,I
100301,C,G,I
100302,A,E,I
100303,C,F,H
100304,A,F,H
100305,B,G,I
100306,C,E,H
100307,B,F,I
100308,A,F,H
100309,D,E,I
100310,D,F,I
100311,D,G,I
100312,A,E,H
100313,B,E,I
100314,D,E,H
100315,C,F,H
100316,D,F,H
100317,B,F,I
100318,A,G,H
100319,D,E,I
100320,C,E,H
100321,B,G,H
100322,A,E,I
100323,A,E,I
100324,D,G,H
100325,B,G,I
100326,B,G,H
100327,D,E,I
100328,B,E,I
100329,C,E,H
100330,C,E,H
100331,C,G,I
100332,B,G,I
100333,D,G,I
100334,A,F,H
100335,A,F,H
100336,D,F,H
100337,C,E,H
100338,B,G,H
100339,A,E,H
100340,D,G,H
100341,A,F,H
100342,C,E,H
100343,C,E,H
100344,B,F,H
100345,A,E,I
100346,A,F,H
100347,A,E,H
100348,A,G,I
100349,D,G,H
100350,A,G,I
100351,B,G,I
100352,A,E,I
100353,B,E,H
100354,C,G,I
100355,B,G,I
100356,B,G,I
100357,A,F,H
100358,C,G,I
100359,B,G,I
100360,C,F,I
100361,C,G,H
100362,B,E,I
100363,A,G,H
100364,C,G,H
100365,B,F,H
100366,B,E,I
100367,D,E,I
100368,A,G,I
100369,D,G,I
100370,D,F,H
100371,C,E,I
100372,A,F,I
100373,A,F,H
100374,B,G,H
100375,D,E,I
100376,D,G,H
100377,C,E,I
100378,C,G,I
100379,B,F,H
100380,C,G,H
100381,D,E,I
100382,B,E,H
100383,D,F,H
100384,A,F,I
100385,C,E,I
100386,D,G,H
100387,B,E,I
100388,C,G,H
100389,A,E,H
100390,B,E,H
100391,A,E,I
100392,B,G,H
100393,B,E,H
100394,B,F,I
100395,B,F,I
100396,B,E,H
100397,A,F,H
100398,B,F,I
100399,A,G,I
100400,B,G,I
100401,A,F,H
100402,B,F,H
100403,A,G,I
100404,B,G,H
100405,D,E,H
100406,D,G,H
100407,B,F,H
100408,A,F,I
100409,C,F,H
100410,D,E,I
100411,A,G,I
100412,D,F,I
100413,B,G,H
100414,A,E,H
100415,D,F,I
100416,C,E,I
100417,C,F,H
100418,D,F,I
100419,D,F,H
100420,B,F,I
100421,A,G,I
100422,C,G,I
100423,C,E,H
100424,B,G,H
100425,A,F,I
100426,A,F,I
100427,C,G,H
100428,D,G,H
100429,C,E,H
100430,B,G,I
100431,C,G,H
100432,A,F,H
100433,A,E,I
100434,D,G,I
100435,B,G,I
100436,D,E,H
100437,C,F,I
100438,D,G,I
100439,A,F,H
100440,C,G,H
100441,A,G,H
100442,C,F,I
100443,C,G,H
100444,A,E,H
100445,B,F,H
100446,A,E,I
100447,A,G,I
100448,A,E,H
100449,A,E,H
100450,A,E,I
100451,A,G,H
100452,A,G,I
100453,B,E,I
100454,C,G,I
100455,B,E,I
100456,D,F,I
100457,B,G,I
100458,A,E,H
100459,B,F,H
100460,D,F,H
100461,A,G,I
100462,D,G,I
100463,D,E,I
100464,D,E,I
100465,A,G,H
100466,C,G,I
100467,B,G,H
100468,B,G,H
100469,C,F,H
100470,D,E,H
100471,B,G,I
100472,B,E,H
100473,B,F,H
100474,A,F,H
100475,B,E,H
100476,B,F,H
100477,B,E,I
100478,C,F,I
100479,B,E,I
100480,C,E,I
100481,A,G,H
100482,C,E,I
100483,B,E,H
100484,C,E,I
100485,B,E,H
100486,C,E,H
100487,C,E,H
100488,D,F,H
100489,C,E,H
100490,C,E,I
100491,C,E,I
100492,C,E,I
100493,C,G,H
100494,B,F,I
100495,C,F,I
100496,C,E,H
100497,B,F,H
100498,C,F,H
100499,D,E,I
100500,A,F,H
100501,B,F,I
100502,B,E,I
100503,D,F,I
100504,D,F,I
100505,D,G,H
100506,A,G,I
100507,C,F,H
100508,A,F,H
100509,A,F,H
100510,D,E,H
100511,D,E,H
100512,B,G,H
100513,D,F,H
100514,B,G,H
100515,C,F,I
100516,B,F,I
100517,B,F,H
100518,A,E,H
100519,A,G,H
100520,C,F,H
100521,C,G,I
100522,D,G,H
100523,B,G,I
100524,A,E,I
100525,D,E,I
100526,A,G,H
100527,C,E,I
100528,A,E,H
100529,B,F,H
100530,D,F,H
100531,B,F,H
100532,C,F,I
100533,C,G,I
100534,C,G,H
100535,A,G,H
100536,C,F,I
100537,C,E,I
100538,A,E,H
100539,B,G,I
100540,D,F,H
100541,C,F,H
100542,C,F,H
100543,B,E,H
100544,D,E,H
100545,C,E,I
100546,B,G,I
100547,B,E,H
100548,B,G,I
100549,C,E,H
100550,C,G,I
100551,A,G,H
100552,D,E,I
100553,C,F,H
100554,D,G,I
100555,C,E,H
100556,C,F,H
100557,D,F,H
100558,D,E,I
100559,D,E,I
100560,B,E,I
100561,C,E,I
100562,B,E,I
100563,A,G,H
100564,D,G,H
100565,B,F,I
100566,D,G,H
100567,C,E,I
100568,C,G,H
100569,A,E,I
100570,D,F,H
100571,D,F,H
100572,A,E,I
100573,B,E,I
100574,A,G,I
100575,B,E,H
100576,D,G,H
100577,D,F,H
100578,C,F,I
100579,B,G,H
100580,D,G,H
100581,C,G,H
100582,C,F,I
100583,B,E,H
100584,C,G,I
100585,C,G,I
100586,D,G,H
100587,B,G,H
100588,C,F,I
100589,C,F,H
100590,D,F,I
100591,C,G,I
100592,A,E,I
100593,D,F,H
100594,A,E,H
100595,B,F,H
100596,D,F,H
100597,D,F,I
100598,C,F,I
100599,C,G,H
100600,B,E,I
100601,C,E,I
100602,C,E,H
100603,A,E,H
100604,B,G,H
100605,C,E,H
100606,D,G,H
100607,B,G,I
100608,A,E,H
100609,D,F,I
100610,C,G,I
100611,A,G,H
100612,A,E,I
100613,A,E,H
100614,A,F,H
100615,B,F,I
100616,B,E,I
100617,B,E,I
100618,C,G,H
100619,D,G,I
100620,D,G,I
100621,C,F,I
100622,C,G,I
100623,A,F,H
100624,D,G,H
100625,A,G,I
100626,D,F,I
100627,A,E,I
100628,B,E,H
100629,A,E,H
100630,A,G,I
100631,B,G,H
100632,B,E,H
100633,C,E,H
100634,D,G,H
100635,A,G,H
100636,D,F,H
100637,D,F,I
100638,A,G,H
100639,A,F,H
100640,A,F,H
100641,A,G,H
100642,B,E,I
100643,B,F,I
100644,B,G,H
100645,B,E,I
100646,C,E,I
100647,C,E,I
100648,C,G,I
100649,B,E,I
100650,A,G,I
100651,D,E,I
100652,B,G,H
100653,D,F,H
100654,C,G,I
100655,A,F,H
100656,C,F,H
100657,A,E,I
100658,D,E,H
100659,C,G,I
100660,C,F,H
100661,C,E,I
100662,D,G,H
100663,B,F,H
100664,D,E,H
100665,C,G,H
100666,B,E,H
100667,D,F,H
100668,A,F,H
100669,C,G,H
100670,A,E,H
100671,D,E,I
100672,D,F,H
100673,D,E,I
100674,A,E,H
100675,B,E,H
100676,C,F,H
100677,B,G,H
100678,B,F,H
100679,D,E,H
100680,B,F,H
100681,D,G,H
100682,C,E,I
100683,C,E,I
100684,C,F,H
100685,D,G,I
100686,B,G,I
100687,A,F,H
100688,C,F,H
100689,A,E,I
100690,B,F,I
100691,B,G,H
100692,C,G,I
100693,B,F,H
100694,B,E,I
100695,D,E,H
100696,A,E,H
100697,B,E,I
100698,B,E,I
100699,D,F,H
100700,D,E,I
100701,A,E,I
100702,C,E,H
100703,A,E,H
100704,B,E,I
100705,B,F,H
100706,D,E,H
100707,D,F,H
100708,D,E,I
100709,B,F,I
100710,D,F,H
100711,B,G,H
100712,A,G,I
100713,A,F,H
100714,A,E,H
100715,A,E,H
100716,A,F,H
100717,B,F,H
100718,B,F,I
100719,D,G,I
100720,C,F,H
100721,B,G,I
100722,A,E,H
100723,B,G,I
100724,C,E,H
100725,B,F,I
100726,B,F,H
100727,B,F,H
100728,A,F,H
100729,A,F,I
100730,D,G,I
100731,A,F,I
100732,C,G,I
100733,C,F,I
100734,A,F,I
100735,B,G,I
100736,B,F,H
100737,D,G,H
100738,A,E,H
100739,B,E,H
100740,A,F,H
100741,A,F,I
100742,C,F,I
100743,A,G,H
100744,B,E,H
100745,C,G,I
100746,A,F,I
100747,A,G,H
100748,D,E,I
100749,C,G,H
100750,C,G,I
100751,B,E,I
100752,C,G,H
100753,C,E,I
100754,B,F,H
100755,C,G,I
100756,B,G,I
100757,A,G,H
100758,B,E,H
100759,C,F,I
100760,C,G,I
100761,D,G,H
100762,C,F,I
100763,B,F,H
100764,B,G,H
100765,D,G,H
100766,C,E,I
100767,C,E,I
100768,A,F,I
100769,A,E,I
100770,C,F,I
100771,D,E,I
100772,C,G,I
100773,A,F,H
100774,A,E,H
100775,D,E,I
100776,A,F,H
100777,C,F,H
100778,D,E,H
100779,B,G,I
100780,C,F,H
100781,D,E,H
100782,C,F,H
100783,B,G,I
100784,D,E,H
100785,C,F,I
100786,A,E,I
100787,D,F,I
100788,B,F,H
100789,A,G,I
100790,D,G,H
100791,D,F,I
100792,A,E,H
100793,D,G,H
100794,B,E,H
100795,B,G,H
100796,B,G,H
100797,C,G,H
100798,D,E,I
100799,A,E,I
100800,C,E,I
100801,B,G,I
100802,B,E,H
100803,D,G,I
100804,A,G,H
100805,B,F,H
100806,C,E,H
100807,A,E,H
100808,B,G,I
100809,B,F,I
100810,A,G,I
100811,B,G,H
100812,B,G,H
100813,C,F,H
100814,C,F,H
100815,B,F,H
100816,D,G,H
100817,A,E,I
100818,B,G,I
100819,A,E,I
100820,B,G,I
100821,A,E,I
100822,D,E,H
100823,A,G,I
100824,B,G,I
100825,B,F,H
100826,D,E,H
100827,B,E,H
100828,D,F,I
100829,A,G,H
100830,C,G,I
100831,B,G,I
100832,D,E,H
100833,A,G,H
100834,A,E,I
100835,A,G,H
100836,D,F,H
100837,C,G,I
100838,A,G,I
100839,C,G,H
100840,D,F,H
100841,D,F,H
100842,C,G,H
100843,D,G,I
100844,C,F,H
100845,B,E,H
100846,A,F,I
100847,A,E,H
100848,C,E,H
100849,C,E,I
100850,A,G,I
100851,A,F,H
100852,D,F,H
100853,D,G,H
100854,B,F,H
100855,A,F,I
100856,D,E,H
100857,D,F,H
100858,C,E,H
100859,B,F,H
100860,C,G,H
100861,A,F,I
100862,A,G,H
100863,B,G,I
100864,A,E,I
100865,B,G,I
100866,A,E,I
100867,A,E,H
100868,C,G,H
100869,A,F,I
100870,C,E,H
100871,A,G,H
100872,C,G,H
100873,B,G,I
100874,C,E,H
100875,A,G,I
100876,D,F,I
100877,B,E,I
100878,D,G,H
100879,B,F,H
100880,D,F,H
100881,D,F,H
100882,B,E,I
100883,C,F,I
100884,B,E,H
100885,D,E,I
100886,A,E,I
100887,C,F,H
100888,B,G,H
100889,C,E,H
100890,A,G,I
100891,B,F,H
100892,B,G,I
100893,A,F,H
100894,D,F,I
100895,B,G,I
100896,D,G,I
100897,B,G,I
100898,C,F,H
100899,A,E,I
100900,B,F,H
100901,A,G,H
100902,A,G,H
100903,D,F,I
100904,D,F,H
100905,D,G,I
100906,D,E,H
100907,B,G,I
100908,A,G,H
100909,C,G,H
100910,C,E,H
100911,D,G,I
100912,A,G,H
100913,B,E,H
100914,A,E,I
100915,A,E,H
100916,B,G,H
100917,B,F,I
100918,D,G,H
100919,D,G,I
100920,A,G,I
100921,B,E,I
100922,C,F,H
100923,B,G,H
100924,C,G,I
100925,C,G,H
100926,B,G,I
100927,D,F,I
100928,B,F,H
100929,A,G,I
100930,A,G,H
100931,D,E,H
100932,A,E,I
100933,D,E,I
100934,D,E,I
100935,A,E,I
100936,D,G,H
100937,C,E,H
100938,A,F,H
100939,D,G,H
100940,C,G,I
100941,C,G,I
100942,B,F,I
100943,C,F,H
100944,B,G,H
100945,D,F,H
100946,A,G,I
100947,A,G,H
100948,A,E,I
100949,B,F,H
100950,C,E,H
100951,B,F,H
100952,A,E,H
100953,A,E,I
100954,B,F,I
100955,B,F,I
100956,D,G,I
100957,B,E,H
100958,D,G,I
100959,A,E,H
100960,B,G,I
100961,A,G,H
100962,C,G,I
100963,A,F,H
100964,C,F,I
100965,B,E,H
100966,D,G,H
100967,C,F,H
100968,A,F,H
100969,D,G,I
100970,B,E,H
100971,C,G,H
100972,B,F,H
100973,C,G,I
100974,A,G,I
100975,D,F,I
100976,C,G,H
100977,A,E,I
100978,D,F,I
100979,C,F,I
100980,B,G,I
100981,C,G,H
100982,D,F,I
100983,A,G,H
100984,B,G,I
100985,A,G,H
100986,C,E,I
100987,A,F,H
100988,B,E,H
100989,D,G,H
100990,A,F,I
100991,B,E,H
100992,D,E,I
100993,A,F,H
100994,D,F,H
100995,A,G,H
100996,C,F,I
100997,C,G,I
100998,C,E,H
100999,C,F,I
101000,C,G,H
101001,C,G,H
101002,B,F,I
101003,C,F,H
101004,A,F,I
101005,A,F,H
101006,D,E,I
101007,D,F,I
101008,B,E,I
101009,A,E,I
101010,B,E,H
101011,B,G,H
101012,A,F,H
101013,A,G,I
101014,C,E,H
101015,D,G,I
101016,C,F,H
101017,D,E,I
101018,A,E,I
101019,C,G,H
101020,B,G,H
101021,B,E,H
101022,C,F,H
101023,B,G,H
101024,A,E,H
101025,D,F,H
101026,C,G,H
101027,B,G,I
101028,A,E,H
101029,C,E,I
101030,A,G,I
101031,D,E,I
101032,D,F,H
101033,C,F,I
101034,D,F,H
101035,C,F,H
101036,A,F,H
101037,D,E,I
101038,B,F,H
101039,D,G,I
101040,D,E,H
101041,B,F,H
101042,B,E,H
101043,C,E,I
101044,D,E,I
101045,D,G,H
101046,D,G,H
101047,D,E,H
101048,C,E,I
101049,C,F,I
101050,B,F,I
101051,A,E,I
101052,A,F,H
101053,C,G,I
101054,C,G,I
101055,D,E,I
101056,A,E,I
101057,B,F,H
101058,C,G,H
101059,C,G,H
101060,A,G,H
101061,B,F,I
101062,A,E,I
101063,B,F,I
101064,B,F,H
101065,D,E,I
101066,A,F,I
101067,B,F,I
101068,B,F,I
101069,C,E,I
101070,A,G,I
101071,C,G,I
101072,C,G,H
101073,B,F,H
101074,B,G,H
101075,A,F,I
101076,D,G,H
101077,B,E,I
101078,B,F,H
101079,A,G,I
101080,D,G,H
101081,A,F,I
101082,B,F,H
101083,D,E,I
101084,A,F,H
101085,C,F,I
101086,D,F,H
101087,A,G,H
101088,D,F,H
101089,A,G,H
101090,A,E,H
101091,B,G,H
101092,C,E,H
101093,C,G,I
101094,A,F,H
101095,C,G,I
101096,D,F,H
101097,B,F,H
101098,B,E,H
101099,C,F,I
101100,A,E,I
101101,C,G,I
101102,B,G,H
101103,D,F,H
101104,B,F,H
101105,B,F,H
101106,B,E,I
101107,C,F,I
101108,B,F,H
101109,B,F,I
101110,D,F,I
101111,A,G,I
101112,D,F,I
101113,C,G,I
101114,C,F,I
101115,D,E,I
101116,D,F,H
101117,D,E,H
101118,A,G,I
101119,D,F,H
101120,B,G,I
101121,A,F,H
101122,D,G,H
101123,B,G,H
101124,A,G,I
101125,B,E,I
101126,C,E,H
101127,D,G,H
101128,A,F,H
101129,D,F,I
101130,B,E,H
101131,B,E,H
101132,C,G,H
101133,C,E,I
101134,C,G,H
101135,A,G,H
101136,D,E,I
101137,C,F,H
101138,C,E,H
101139,B,E,I
101140,D,E,H
101141,A,G,I
101142,A,F,I
101143,A,E,I
101144,B,G,H
101145,B,F,I
101146,C,F,H
101147,B,G,H
101148,D,G,I
101149,A,G,H
101150,B,F,I
101151,C,F,I
101152,A,G,H
101153,D,F,I
101154,A,E,H
101155,C,F,H
101156,B,E,I
101157,D,G,H
101158,A,E,I
101159,A,F,H
101160,A,G,H
101161,B,G,I
101162,D,E,I
101163,D,G,H
101164,A,E,H
101165,B,G,H
101166,C,G,I
101167,B,E,I
101168,A,E,H
101169,A,E,H
101170,C,E,H
101171,D,E,H
101172,C,E,I
101173,C,E,H
101174,C,G,I
101175,A,G,I
101176,B,E,H
101177,A,E,I
101178,B,G,H
101179,D,F,I
101180,A,F,I
101181,D,F,H
101182,B,E,I
101183,D,F,H
101184,C,F,I
101185,A,G,H
101186,D,F,H
101187,C,G,I
101188,D,F,I
101189,C,F,H
101190,A,F,H
101191,C,G,I
101192,C,G,I
101193,B,F,I
101194,B,F,I
101195,D,E,H
101196,B,G,H
101197,D,G,H
101198,A,G,I
101199,D,F,H
101200,A,G,H
101201,C,F,I
101202,A,E,H
101203,D,F,I
101204,C,G,I
101205,C,E,I
101206,B,G,H
101207,B,E,H
101208,C,F,H
101209,D,G,H
101210,D,F,H
101211,A,G,H
101212,D,G,I
101213,C,F,I
101214,A,E,I
101215,C,G,I
101216,C,G,H
101217,D,G,H
101218,A,E,I
101219,A,F,H
101220,B,E,I
101221,C,F,I
101222,D,G,H
101223,C,E,I
101224,C,E,H
101225,B,G,I
101226,D,F,H
101227,C,F,I
101228,B,F,I
101229,D,E,H
101230,B,E,I
101231,B,E,H
101232,C,F,H
101233,B,F,H
101234,C,F,H
101235,A,G,I
101236,A,F,I
101237,A,G,H
101238,B,E,H
101239,C,F,I
101240,A,G,I
101241,D,G,I
101242,C,G,H
101243,A,E,H
101244,A,E,H
101245,A,E,I
101246,C,F,I
101247,A,G,I
101248,B,E,I
101249,C,E,I
101250,B,G,I
101251,B,F,H
101252,C,G,I
101253,A,E,I
101254,A,E,I
101255,A,G,I
101256,D,G,I
101257,C,F,H
101258,B,F,H
101259,A,G,H
101260,B,G,H
101261,A,G,I
101262,A,G,H
101263,A,F,H
101264,C,G,H
101265,C,F,H
101266,A,F,I
101267,B,G,I
101268,D,E,I
101269,C,F,I
101270,B,F,I
101271,B,E,H
101272,B,G,I
101273,C,G,H
101274,C,E,I
101275,B,G,I
101276,D,E,I
101277,C,F,I
101278,C,F,H
101279,D,G,I
101280,A,G,H
101281,D,G,H
101282,D,E,I
101283,D,E,H
101284,B,E,H
101285,D,F,H
101286,D,G,I
101287,D,E,H
101288,B,G,H
101289,C,E,H
101290,B,E,H
101291,C,E,H
101292,C,G,I
101293,D,E,I
101294,D,F,I
101295,A,G,H
101296,A,E,I
101297,C,E,H
101298,C,F,I
101299,B,G,H
101300,C,G,I
101301,D,E,H
101302,A,E,I
101303,B,G,H
101304,B,E,I
101305,D,E,H
101306,D,E,H
101307,C,G,H
101308,A,G,H
101309,C,F,I
101310,D,F,H
101311,D,E,H
101312,A,E,H
101313,A,F,H
101314,C,G,I
101315,B,G,I
101316,A,G,I
101317,A,F,H
101318,B,G,I
101319,C,E,H
101320,C,F,I
101321,C,F,I
101322,C,F,I
101323,A,G,H
101324,B,F,I
101325,A,G,I
101326,A,E,I
101327,C,F,I
101328,C,F,I
101329,C,G,I
101330,C,G,I
101331,B,F,I
101332,B,E,I
101333,B,F,I
101334,D,E,I
101335,D,G,H
101336,B,E,I
101337,C,E,I
101338,B,F,H
101339,A,E,H
101340,C,G,I
101341,A,E,H
101342,B,E,I
101343,A,E,H
101344,D,G,I
101345,A,F,H
101346,C,G,I
101347,D,E,I
101348,D,E,H
101349,A,E,H
101350,C,F,H
101351,B,E,I
101352,C,G,H
101353,C,G,I
101354,D,F,H
101355,B,E,I
101356,D,F,H
101357,B,E,I
101358,C,G,H
101359,A,F,I
101360,D,G,H
101361,C,E,I
101362,B,E,I
101363,B,F,H
101364,D,E,I
101365,D,G,I
101366,B,E,H
101367,A,E,I
101368,C,G,I
101369,C,E,H
101370,D,E,I
101371,A,E,H
101372,D,F,H
101373,D,F,I
101374,A,F,I
101375,D,F,I
101376,A,G,I
101377,C,F,I
101378,D,G,H
101379,C,F,I
101380,B,E,I
101381,A,G,I
101382,D,G,I
101383,A,E,I
101384,D,G,H
101385,C,G,H
101386,A,G,H
101387,B,G,H
101388,D,G,I
101389,B,E,H
101390,B,E,H
101391,B,G,I
101392,A,F,I
101393,A,F,H
101394,B,G,H
101395,C,F,H
101396,A,F,H
101397,A,G,I
101398,A,F,H
101399,B,F,H
101400,B,E,I
101401,A,F,H
101402,B,E,I
101403,A,G,I
101404,D,G,H
101405,C,E,I
101406,B,E,I
101407,B,G,H
101408,C,E,I
101409,B,E,H
101410,D,E,H
101411,C,E,I
101412,D,E,I
101413,B,E,I
101414,B,G,I
101415,A,F,H
101416,C,F,I
101417,A,E,I
101418,D,E,H
101419,B,F,H
101420,D,G,I
101421,B,F,H
101422,C,G,H
101423,B,F,I
101424,D,E,H
101425,B,F,H
101426,C,G,H
101427,B,F,I
101428,B,F,H
101429,D,E,H
101430,A,G,I
101431,D,G,H
101432,D,E,I
101433,B,F,H
101434,C,G,I
101435,B,E,I
101436,B,G,H
101437,D,E,I
101438,A,F,H
101439,C,E,I
101440,B,G,H
101441,C,E,I
101442,C,E,H
101443,B,E,H
101444,D,F,H
101445,B,G,H
101446,B,E,H
101447,C,G,H
101448,C,F,H
101449,A,F,I
101450,C,F,H
101451,A,E,I
101452,B,F,H
101453,D,E,I
101454,D,E,I
101455,D,F,H
101456,D,F,H
101457,D,E,I
101458,A,G,I
101459,C,F,I
101460,D,G,H
101461,B,E,I
101462,D,G,I
101463,D,G,H
101464,A,G,I
101465,D,E,I
101466,C,G,I
101467,D,G,I
101468,A,G,I
101469,C,E,H
101470,A,G,I
101471,D,G,I
101472,A,G,I
101473,B,F,I
101474,A,E,H
101475,A,G,I
101476,D,G,H
101477,B,E,I
101478,D,F,I
101479,D,F,I
101480,D,G,I
101481,D,F,H
101482,A,E,I
101483,A,G,I
101484,B,E,H
101485,A,F,H
101486,A,F,H
101487,D,G,I
101488,B,G,H
101489,D,E,I
101490,D,G,H
101491,D,G,I
101492,A,G,H
101493,B,E,I
101494,D,E,I
101495,D,E,H
101496,A,G,I
101497,D,E,H
101498,B,E,H
101499,A,E,H
101500,B,F,I
101501,C,G,H
101502,C,E,I
101503,A,G,H
101504,A,F,I
101505,A,F,I
101506,D,F,H
101507,C,E,H
101508,C,F,I
101509,D,G,I
101510,C,E,H
101511,A,E,I
101512,A,F,I
101513,C,F,I
101514,C,E,I
101515,A,G,I
101516,B,E,I
101517,D,G,H
101518,D,G,H
101519,C,E,H
101520,C,G,H
101521,D,G,I
101522,C,F,I
101523,D,F,I
101524,D,E,I
101525,C,E,H
101526,C,E,H
101527,C,G,H
101528,D,E,I
101529,D,E,I
101530,D,G,I
101531,B,E,H
101532,D,F,I
101533,C,E,I
101534,C,F,H
101535,C,F,I
101536,A,G,I
101537,B,E,I
101538,A,F,I
101539,A,E,H
101540,D,G,H
101541,C,F,I
101542,D,G,H
101543,B,F,H
101544,C,G,I
101545,A,F,H
101546,D,G,H
101547,A,G,I
101548,A,E,H
101549,D,G,H
101550,B,G,I
