Policy Number,Age,Age Band,Years of Driving Experience,Number of Vehicles,Gender,Gender Dummy,Married,Married Dummy,Vehicle Age,Vehicle Age Band,Fuel Type,Fuel Type Dummy,Losses,Count,Capped Losses
152298,23,16-25,4,1,M,1,Single,1,10,10-Jun,D,1,846,1,846
137739,50,26-59,32,1,M,1,Single,1,13,11+,P,0,274,1,274
102090,39,26-59,18,1,F,0,Single,1,3,0-5,D,1,791,1,791
164014,35,26-59,14,1,F,0,Single,1,6,10-Jun,P,0,355,1,355
140277,38,26-59,20,1,M,1,Married,0,1,0-5,D,1,523,1,523
183688,66,60+,47,1,M,1,Single,1,0,0-5,P,0,347,1,347
189679,58,26-59,39,1,F,0,Single,1,2,0-5,P,0,382,1,382
139993,25,16-25,6,1,M,1,Single,1,12,11+,D,1,748,1,748
101061,45,26-59,26,1,M,1,Married,0,9,10-Jun,P,0,391,1,391
163029,48,26-59,29,1,M,1,Married,0,12,11+,P,0,330,1,330
196673,18,16-25,1,1,M,1,Single,1,7,10-Jun,D,1,905,1,905
154414,40,26-59,19,1,F,0,Single,1,9,10-Jun,P,0,387,1,387
152345,17,16-25,0,1,M,1,Married,0,11,11+,P,0,482,1,482
159755,32,26-59,12,1,M,1,Married,0,15,11+,P,0,178,1,178
196090,25,16-25,6,1,M,1,Married,0,9,10-Jun,D,1,597,1,597
124743,56,26-59,36,1,M,1,Single,1,9,10-Jun,P,0,449,1,449
160933,67,60+,47,1,F,0,Married,0,4,0-5,P,0,219,1,219
170212,60,60+,41,1,F,0,Married,0,8,10-Jun,P,0,228,1,228
174318,60,60+,41,1,F,0,Single,1,2,0-5,D,1,720,1,720
182975,16,16-25,0,1,M,1,Single,1,8,10-Jun,D,1,951,1,951
127853,42,26-59,21,1,M,1,Single,1,11,11+,P,0,369,1,369
101368,20,16-25,1,1,F,0,Married,0,14,11+,P,0,191,1,191
168719,40,26-59,19,1,M,1,Single,1,8,10-Jun,D,1,503,1,503
131825,16,16-25,0,1,M,1,Married,0,15,11+,P,0,265,1,265
198279,70,60+,51,1,M,1,Single,1,7,10-Jun,P,0,342,1,342
118353,20,16-25,3,1,F,0,Married,0,15,11+,P,0,205,1,205
164749,28,26-59,9,1,M,1,Single,1,5,0-5,D,1,707,1,707
180133,28,26-59,10,1,F,0,Single,1,3,0-5,D,1,865,1,865
174077,20,16-25,2,1,F,0,Married,0,9,10-Jun,P,0,435,1,435
155060,22,16-25,3,1,M,1,Single,1,4,0-5,D,1,1096,1,1096
150870,20,16-25,2,1,M,1,Married,0,12,11+,P,0,373,1,373
180138,64,60+,47,1,M,1,Married,0,11,11+,P,0,48,1,48
185934,44,26-59,25,1,F,0,Single,1,13,11+,P,0,447,1,447
153908,17,16-25,0,1,M,1,Single,1,12,11+,D,1,665,1,665
169358,22,16-25,4,1,M,1,Married,0,14,11+,P,0,317,1,317
153822,61,60+,40,1,M,1,Single,1,5,0-5,P,0,389,1,389
140129,22,16-25,4,1,F,0,Single,1,13,11+,P,0,406,1,406
122434,60,60+,42,1,F,0,Single,1,12,11+,P,0,46,1,46
149010,17,16-25,0,1,M,1,Married,0,14,11+,P,0,355,1,355
151476,17,16-25,0,1,F,0,Single,1,11,11+,P,0,297,1,297
106521,63,60+,43,1,F,0,Single,1,4,0-5,P,0,217,1,217
168963,41,26-59,20,1,M,1,Married,0,6,10-Jun,P,0,376,1,376
115414,65,60+,48,1,M,1,Single,1,15,11+,P,0,26,1,26
164992,26,26-59,7,1,F,0,Married,0,5,0-5,D,1,606,1,606
133639,59,26-59,42,1,M,1,Single,1,11,11+,P,0,351,1,351
122437,66,60+,45,1,F,0,Married,0,12,11+,P,0,16,1,16
137595,29,26-59,8,1,M,1,Single,1,5,0-5,D,1,739,1,739
187253,21,16-25,2,1,F,0,Married,0,13,11+,P,0,183,1,183
156504,21,16-25,3,1,M,1,Married,0,13,11+,P,0,311,1,311
162843,64,60+,46,1,F,0,Married,0,11,11+,P,0,260,1,260
115549,36,26-59,17,1,F,0,Married,0,7,10-Jun,P,0,322,1,322
135122,46,26-59,27,1,M,1,Single,1,10,10-Jun,D,1,596,1,596
160917,60,60+,42,1,M,1,Married,0,13,11+,P,0,162,1,162
185458,25,16-25,8,1,M,1,Married,0,15,11+,D,1,525,1,525
160510,47,26-59,30,1,F,0,Married,0,6,10-Jun,P,0,330,1,330
140871,24,16-25,6,1,M,1,Single,1,13,11+,P,0,414,1,414
176448,40,26-59,23,1,M,1,Married,0,1,0-5,D,1,593,1,593
198278,21,16-25,2,1,F,0,Single,1,14,11+,P,0,412,1,412
172292,35,26-59,16,1,F,0,Single,1,7,10-Jun,P,0,395,1,395
193942,70,60+,53,1,F,0,Married,0,8,10-Jun,P,0,59,1,59
171408,48,26-59,27,1,M,1,Single,1,0,0-5,D,1,575,1,575
191865,62,60+,44,1,F,0,Single,1,2,0-5,P,0,85,1,85
195418,50,26-59,29,1,M,1,Single,1,8,10-Jun,D,1,552,1,552
128036,67,60+,50,1,M,1,Single,1,6,10-Jun,P,0,78,1,78
199870,54,26-59,34,1,M,1,Married,0,9,10-Jun,P,0,314,1,314
147315,25,16-25,8,1,M,1,Single,1,5,0-5,D,1,3500,1,1200
190621,16,16-25,0,1,M,1,Single,1,15,11+,P,0,3250,1,1200
142474,66,60+,48,1,M,1,Single,1,10,10-Jun,P,0,2850,1,1200
194236,63,60+,43,1,F,0,Single,1,10,10-Jun,P,0,2535,1,1200
185366,52,26-59,34,1,M,1,Married,0,5,0-5,D,1,2852,1,1200
142085,25,16-25,7,1,F,0,Married,0,11,11+,P,0,2879,1,1200
114164,38,26-59,20,1,F,0,Married,0,3,0-5,D,1,2814,1,1200
164185,25,16-25,6,1,F,0,Single,1,8,10-Jun,D,1,2879,1,1200
103178,50,26-59,32,1,F,0,Single,1,15,11+,P,0,3462,1,1200
140879,35,26-59,15,1,M,1,Single,1,9,10-Jun,P,0,3333,1,1200
174443,64,60+,45,1,F,0,Single,1,13,11+,P,0,3227,1,1200
121044,68,60+,49,1,F,0,Married,0,2,0-5,P,0,235,1,235
185091,63,60+,45,1,F,0,Married,0,3,0-5,P,0,61,1,61
104797,24,16-25,7,1,M,1,Single,1,9,10-Jun,D,1,751,1,751
136204,58,26-59,38,1,F,0,Married,0,10,10-Jun,P,0,315,1,315
112619,17,16-25,0,1,M,1,Single,1,8,10-Jun,D,1,1197,1,1197
178782,16,16-25,0,1,F,0,Single,1,12,11+,D,1,611,1,611
130506,20,16-25,1,1,M,1,Single,1,13,11+,D,1,868,1,868
107433,58,26-59,38,1,F,0,Married,0,14,11+,P,0,284,1,284
122086,50,26-59,33,1,M,1,Married,0,11,11+,P,0,143,1,143
120837,58,26-59,37,1,M,1,Single,1,9,10-Jun,P,0,443,1,443
119860,23,16-25,5,1,M,1,Single,1,15,11+,D,1,1087,1,1087
100079,20,16-25,3,1,M,1,Married,0,1,0-5,D,1,682,1,682
107878,52,26-59,35,1,M,1,Married,0,15,11+,P,0,269,1,269
111243,36,26-59,16,1,M,1,Married,0,0,0-5,P,0,430,1,430
141643,37,26-59,16,1,F,0,Single,1,13,11+,P,0,218,1,218
121584,61,60+,40,1,F,0,Married,0,9,10-Jun,P,0,288,1,288
183067,29,26-59,11,1,F,0,Married,0,0,0-5,P,0,387,1,387
184637,21,16-25,2,1,F,0,Single,1,15,11+,P,0,233,1,233
129471,22,16-25,4,1,F,0,Married,0,15,11+,P,0,296,1,296
181752,31,26-59,13,1,F,0,Single,1,9,10-Jun,P,0,382,1,382
145728,60,60+,42,1,M,1,Single,1,0,0-5,P,0,98,1,98
138354,44,26-59,25,1,F,0,Single,1,3,0-5,P,0,427,1,427
149411,16,16-25,0,1,M,1,Single,1,13,11+,D,1,535,1,535
155379,18,16-25,1,1,F,0,Married,0,15,11+,P,0,323,1,323
189763,66,60+,47,1,M,1,Married,0,5,0-5,P,0,313,1,313
115565,70,60+,52,1,F,0,Married,0,12,11+,P,0,29,1,29
179862,19,16-25,0,1,M,1,Married,0,11,11+,P,0,414,1,414
156612,49,26-59,30,1,M,1,Single,1,9,10-Jun,P,0,397,1,397
160282,18,16-25,0,1,M,1,Single,1,12,11+,D,1,550,1,550
181059,24,16-25,5,1,F,0,Single,1,2,0-5,D,1,768,1,768
146711,66,60+,46,1,F,0,Single,1,4,0-5,P,0,430,1,430
198926,70,60+,49,1,F,0,Single,1,13,11+,P,0,58,1,58
108827,25,16-25,7,1,F,0,Single,1,7,10-Jun,P,0,423,1,423
165557,26,26-59,8,1,M,1,Single,1,15,11+,P,0,299,1,299
192032,23,16-25,6,1,M,1,Single,1,12,11+,P,0,376,1,376
167570,35,26-59,18,1,F,0,Single,1,9,10-Jun,P,0,429,1,429
172196,25,16-25,6,1,M,1,Single,1,12,11+,D,1,620,1,620
104695,65,60+,46,1,F,0,Single,1,6,10-Jun,P,0,357,1,357
109581,70,60+,50,1,F,0,Single,1,14,11+,P,0,37,1,37
125470,26,26-59,5,1,M,1,Single,1,2,0-5,D,1,514,1,514
146889,43,26-59,22,1,M,1,Single,1,8,10-Jun,P,0,383,1,383
183736,18,16-25,1,1,M,1,Married,0,10,10-Jun,D,1,776,1,776
188360,39,26-59,18,1,M,1,Single,1,5,0-5,D,1,688,1,688
137629,20,16-25,2,1,M,1,Married,0,13,11+,P,0,250,1,250
123394,34,26-59,13,1,F,0,Married,0,12,11+,P,0,151,1,151
111554,69,60+,50,1,F,0,Single,1,7,10-Jun,P,0,97,1,97
164809,70,60+,53,1,F,0,Single,1,10,10-Jun,P,0,156,1,156
125588,25,16-25,7,1,M,1,Single,1,7,10-Jun,D,1,1036,1,1036
110830,22,16-25,5,1,F,0,Single,1,10,10-Jun,P,0,466,1,466
130427,57,26-59,38,1,F,0,Married,0,4,0-5,D,1,597,1,597
116082,51,26-59,31,1,M,1,Married,0,0,0-5,D,1,515,1,515
146750,19,16-25,0,1,F,0,Married,0,12,11+,D,1,541,1,541
101703,64,60+,45,1,F,0,Married,0,4,0-5,P,0,35,1,35
165002,62,60+,42,1,F,0,Single,1,10,10-Jun,P,0,93,1,93
133073,22,16-25,5,1,M,1,Single,1,14,11+,D,1,655,1,655
199193,46,26-59,27,1,M,1,Single,1,3,0-5,D,1,771,1,771
169904,56,26-59,36,1,M,1,Single,1,7,10-Jun,D,1,555,1,555
164381,19,16-25,2,1,M,1,Married,0,12,11+,P,0,289,1,289
101325,25,16-25,8,1,F,0,Married,0,15,11+,P,0,320,1,320
125818,61,60+,42,1,F,0,Single,1,8,10-Jun,P,0,380,1,380
150975,35,26-59,17,1,M,1,Single,1,10,10-Jun,P,0,403,1,403
136723,64,60+,46,1,M,1,Single,1,7,10-Jun,P,0,217,1,217
115009,41,26-59,22,1,F,0,Single,1,13,11+,P,0,275,1,275
183198,66,60+,46,1,M,1,Single,1,1,0-5,D,1,796,1,796
118167,62,60+,43,1,M,1,Single,1,6,10-Jun,P,0,56,1,56
181893,46,26-59,28,1,F,0,Single,1,5,0-5,D,1,713,1,713
193579,29,26-59,10,1,M,1,Married,0,12,11+,P,0,141,1,141
134526,65,60+,44,1,M,1,Single,1,14,11+,P,0,291,1,291
162909,60,60+,39,1,M,1,Married,0,1,0-5,P,0,203,1,203
160490,41,26-59,22,1,M,1,Married,0,4,0-5,D,1,517,1,517
100366,46,26-59,26,1,F,0,Married,0,12,11+,P,0,202,1,202
139754,41,26-59,24,1,F,0,Single,1,10,10-Jun,P,0,428,1,428
159663,24,16-25,6,1,F,0,Single,1,11,11+,D,1,516,1,516
153203,62,60+,42,1,F,0,Married,0,14,11+,P,0,257,1,257
109485,36,26-59,15,1,F,0,Married,0,2,0-5,P,0,376,1,376
159668,24,16-25,6,1,M,1,Single,1,12,11+,D,1,1070,1,1070
148260,49,26-59,28,1,M,1,Married,0,13,11+,P,0,371,1,371
180191,20,16-25,3,1,F,0,Single,1,14,11+,P,0,266,1,266
180237,52,26-59,31,1,F,0,Married,0,10,10-Jun,P,0,312,1,312
139893,21,16-25,4,1,F,0,Single,1,15,11+,P,0,430,1,430
155317,58,26-59,39,1,M,1,Single,1,0,0-5,D,1,818,1,818
102276,36,26-59,17,1,F,0,Married,0,13,11+,P,0,320,1,320
115581,18,16-25,0,1,F,0,Married,0,13,11+,P,0,183,1,183
156261,21,16-25,3,1,F,0,Single,1,14,11+,D,1,565,1,565
192333,60,60+,43,1,F,0,Married,0,6,10-Jun,P,0,110,1,110
111841,63,60+,44,1,F,0,Single,1,4,0-5,P,0,466,1,466
174729,64,60+,45,1,M,1,Single,1,11,11+,P,0,173,1,173
179628,22,16-25,5,1,M,1,Married,0,12,11+,P,0,361,1,361
154549,22,16-25,3,1,F,0,Married,0,1,0-5,D,1,837,1,837
181334,26,26-59,5,1,F,0,Married,0,11,11+,P,0,129,1,129
165949,19,16-25,0,1,F,0,Single,1,9,10-Jun,P,0,485,1,485
190391,28,26-59,9,1,M,1,Married,0,2,0-5,P,0,488,1,488
115290,24,16-25,5,1,M,1,Married,0,0,0-5,D,1,990,1,990
100313,60,60+,39,1,F,0,Single,1,10,10-Jun,P,0,166,1,166
151108,20,16-25,2,1,F,0,Married,0,11,11+,P,0,167,1,167
149292,43,26-59,25,1,M,1,Married,0,0,0-5,D,1,693,1,693
158875,23,16-25,4,1,M,1,Married,0,14,11+,D,1,513,1,513
191995,48,26-59,27,1,M,1,Married,0,5,0-5,D,1,629,1,629
129391,40,26-59,23,1,M,1,Single,1,6,10-Jun,P,0,438,1,438
136475,64,60+,44,1,M,1,Single,1,10,10-Jun,P,0,244,1,244
123896,23,16-25,6,1,M,1,Married,0,6,10-Jun,P,0,479,1,479
187193,38,26-59,21,1,M,1,Married,0,9,10-Jun,P,0,321,1,321
193212,19,16-25,0,1,M,1,Married,0,7,10-Jun,P,0,328,1,328
108450,62,60+,42,1,M,1,Married,0,10,10-Jun,P,0,387,1,387
169347,23,16-25,4,1,M,1,Married,0,15,11+,P,0,235,1,235
164942,34,26-59,13,1,F,0,Married,0,2,0-5,P,0,396,1,396
141819,64,60+,47,1,M,1,Single,1,14,11+,P,0,66,1,66
111740,63,60+,42,1,M,1,Single,1,7,10-Jun,P,0,296,1,296
193972,28,26-59,11,1,F,0,Married,0,14,11+,P,0,159,1,159
125668,16,16-25,0,1,M,1,Married,0,12,11+,P,0,477,1,477
161764,29,26-59,11,1,F,0,Single,1,0,0-5,D,1,509,1,509
154044,17,16-25,0,1,F,0,Married,0,15,11+,P,0,352,1,352
153568,55,26-59,34,1,F,0,Married,0,2,0-5,D,1,523,1,523
188603,52,26-59,31,1,M,1,Married,0,10,10-Jun,P,0,314,1,314
160890,30,26-59,9,1,M,1,Single,1,13,11+,P,0,201,1,201
114690,16,16-25,0,1,F,0,Married,0,15,11+,P,0,303,1,303
117035,23,16-25,5,1,F,0,Single,1,6,10-Jun,D,1,788,1,788
161490,70,60+,49,1,F,0,Married,0,14,11+,P,0,100,1,100
173164,18,16-25,0,1,F,0,Married,0,15,11+,P,0,250,1,250
143977,27,26-59,7,1,F,0,Married,0,1,0-5,P,0,489,1,489
163639,47,26-59,28,1,M,1,Married,0,1,0-5,D,1,562,1,562
149434,18,16-25,1,1,F,0,Single,1,12,11+,P,0,415,1,415
149512,19,16-25,2,1,F,0,Single,1,9,10-Jun,D,1,778,1,778
157115,27,26-59,8,1,F,0,Single,1,7,10-Jun,P,0,356,1,356
175097,47,26-59,28,1,M,1,Married,0,13,11+,P,0,357,1,357
196651,70,60+,52,1,F,0,Single,1,7,10-Jun,P,0,328,1,328
195249,53,26-59,33,1,F,0,Married,0,6,10-Jun,P,0,301,1,301
127336,21,16-25,2,1,M,1,Married,0,3,0-5,D,1,770,1,770
137641,43,26-59,23,1,M,1,Married,0,0,0-5,D,1,689,1,689
165330,65,60+,44,1,F,0,Married,0,8,10-Jun,P,0,151,1,151
192598,30,26-59,13,1,F,0,Single,1,1,0-5,D,1,696,1,696
146908,48,26-59,30,1,M,1,Married,0,12,11+,P,0,237,1,237
180115,16,16-25,0,1,F,0,Married,0,15,11+,P,0,310,1,310
177343,63,60+,46,1,M,1,Single,1,9,10-Jun,P,0,411,1,411
117839,40,26-59,22,1,F,0,Single,1,2,0-5,D,1,629,1,629
149617,46,26-59,27,1,M,1,Married,0,10,10-Jun,P,0,393,1,393
126692,56,26-59,35,1,F,0,Married,0,5,0-5,D,1,572,1,572
111093,19,16-25,2,1,F,0,Married,0,14,11+,P,0,282,1,282
135757,33,26-59,12,1,M,1,Single,1,10,10-Jun,P,0,455,1,455
117846,57,26-59,38,1,F,0,Single,1,4,0-5,P,0,478,1,478
155784,56,26-59,36,1,M,1,Single,1,14,11+,P,0,193,1,193
164611,25,16-25,8,1,M,1,Married,0,14,11+,P,0,410,1,410
121723,55,26-59,34,1,M,1,Single,1,12,11+,D,1,509,1,509
133288,40,26-59,20,1,M,1,Single,1,8,10-Jun,P,0,424,1,424
190115,46,26-59,28,1,F,0,Single,1,13,11+,P,0,344,1,344
127988,42,26-59,21,1,M,1,Married,0,11,11+,P,0,182,1,182
132030,27,26-59,8,1,F,0,Married,0,15,11+,P,0,161,1,161
101870,46,26-59,27,1,M,1,Married,0,10,10-Jun,P,0,356,1,356
140905,25,16-25,8,1,F,0,Married,0,15,11+,P,0,329,1,329
198778,42,26-59,24,1,M,1,Married,0,9,10-Jun,P,0,325,1,325
126147,64,60+,46,1,F,0,Single,1,7,10-Jun,P,0,455,1,455
160412,34,26-59,14,1,M,1,Single,1,2,0-5,D,1,762,1,762
103140,64,60+,44,1,F,0,Single,1,14,11+,P,0,290,1,290
149881,34,26-59,16,1,F,0,Single,1,1,0-5,P,0,459,1,459
144509,37,26-59,20,1,F,0,Married,0,14,11+,P,0,259,1,259
168461,21,16-25,3,1,M,1,Single,1,15,11+,D,1,587,1,587
168054,68,60+,50,1,M,1,Married,0,0,0-5,P,0,159,1,159
146863,26,26-59,9,1,F,0,Single,1,11,11+,P,0,148,1,148
120221,51,26-59,34,1,F,0,Married,0,8,10-Jun,P,0,309,1,309
129905,69,60+,51,1,F,0,Single,1,5,0-5,P,0,255,1,255
134778,38,26-59,20,1,M,1,Single,1,7,10-Jun,D,1,517,1,517
197721,64,60+,45,1,M,1,Single,1,0,0-5,P,0,105,1,105
136859,62,60+,44,1,F,0,Married,0,4,0-5,P,0,40,1,40
190111,70,60+,50,1,M,1,Married,0,2,0-5,P,0,302,1,302
130480,27,26-59,9,1,F,0,Married,0,6,10-Jun,P,0,311,1,311
196071,24,16-25,5,1,M,1,Married,0,11,11+,P,0,336,1,336
173780,24,16-25,6,1,F,0,Married,0,15,11+,P,0,198,1,198
148128,70,60+,50,1,F,0,Married,0,5,0-5,P,0,82,1,82
134743,46,26-59,28,1,F,0,Single,1,8,10-Jun,P,0,408,1,408
100484,61,60+,41,1,M,1,Single,1,11,11+,P,0,36,1,36
134903,70,60+,53,1,M,1,Single,1,12,11+,P,0,320,1,320
195830,51,26-59,32,1,F,0,Single,1,0,0-5,D,1,590,1,590
113558,49,26-59,31,1,F,0,Single,1,0,0-5,D,1,526,1,526
167211,34,26-59,13,1,M,1,Single,1,5,0-5,D,1,939,1,939
115864,25,16-25,7,1,M,1,Married,0,12,11+,D,1,554,1,554
162203,24,16-25,5,1,M,1,Single,1,15,11+,P,0,311,1,311
167577,36,26-59,15,1,F,0,Single,1,4,0-5,D,1,878,1,878
142500,20,16-25,3,1,F,0,Single,1,14,11+,P,0,157,1,157
159595,20,16-25,1,1,F,0,Single,1,12,11+,D,1,520,1,520
168966,70,60+,53,1,F,0,Single,1,8,10-Jun,P,0,103,1,103
133980,22,16-25,4,1,M,1,Married,0,12,11+,D,1,547,1,547
124584,61,60+,44,1,M,1,Single,1,6,10-Jun,P,0,330,1,330
122265,20,16-25,2,1,M,1,Married,0,14,11+,D,1,655,1,655
141110,21,16-25,4,1,M,1,Married,0,12,11+,P,0,480,1,480
117962,19,16-25,0,1,F,0,Married,0,6,10-Jun,D,1,517,1,517
171724,66,60+,49,1,F,0,Single,1,0,0-5,P,0,72,1,72
139558,63,60+,44,1,M,1,Single,1,3,0-5,P,0,131,1,131
105488,51,26-59,30,1,F,0,Single,1,0,0-5,D,1,648,1,648
168484,37,26-59,17,1,M,1,Married,0,12,11+,P,0,341,1,341
189773,16,16-25,0,1,M,1,Married,0,14,11+,D,1,512,1,512
153899,21,16-25,4,1,M,1,Married,0,15,11+,P,0,252,1,252
129663,23,16-25,6,1,F,0,Married,0,15,11+,P,0,188,1,188
101567,63,60+,44,1,F,0,Single,1,0,0-5,P,0,154,1,154
163248,63,60+,42,1,M,1,Married,0,5,0-5,P,0,94,1,94
148293,52,26-59,32,1,M,1,Married,0,13,11+,P,0,208,1,208
184812,30,26-59,10,1,M,1,Married,0,0,0-5,P,0,397,1,397
105539,21,16-25,4,1,F,0,Married,0,7,10-Jun,P,0,296,1,296
173771,63,60+,46,1,M,1,Married,0,2,0-5,P,0,76,1,76
137967,45,26-59,27,1,F,0,Married,0,3,0-5,P,0,449,1,449
102783,61,60+,41,1,F,0,Married,0,15,11+,P,0,131,1,131
184349,34,26-59,16,1,M,1,Married,0,11,11+,P,0,147,1,147
190032,16,16-25,0,1,F,0,Single,1,11,11+,D,1,640,1,640
112590,23,16-25,5,1,M,1,Married,0,9,10-Jun,P,0,420,1,420
137410,25,16-25,7,1,F,0,Married,0,15,11+,P,0,396,1,396
186036,16,16-25,0,1,M,1,Married,0,10,10-Jun,P,0,478,1,478
176062,30,26-59,9,1,F,0,Married,0,8,10-Jun,P,0,293,1,293
100180,48,26-59,29,1,F,0,Married,0,5,0-5,D,1,528,1,528
110357,17,16-25,0,1,F,0,Married,0,11,11+,P,0,247,1,247
145580,69,60+,49,1,M,1,Married,0,0,0-5,P,0,169,1,169
104748,28,26-59,9,1,M,1,Single,1,9,10-Jun,P,0,440,1,440
146750,29,26-59,9,1,F,0,Married,0,6,10-Jun,P,0,290,1,290
192607,24,16-25,7,1,M,1,Single,1,14,11+,D,1,682,1,682
146111,67,60+,48,1,F,0,Married,0,0,0-5,P,0,162,1,162
143694,45,26-59,28,1,F,0,Single,1,15,11+,P,0,238,1,238
148898,38,26-59,19,1,M,1,Single,1,2,0-5,D,1,726,1,726
141146,50,26-59,31,1,M,1,Single,1,4,0-5,D,1,729,1,729
166390,51,26-59,32,1,M,1,Single,1,7,10-Jun,P,0,445,1,445
180607,44,26-59,23,1,F,0,Single,1,9,10-Jun,P,0,427,1,427
179326,52,26-59,33,1,M,1,Married,0,13,11+,P,0,265,1,265
185143,21,16-25,2,1,M,1,Married,0,11,11+,P,0,317,1,317
136163,20,16-25,1,1,F,0,Married,0,11,11+,P,0,356,1,356
154374,70,60+,49,1,M,1,Single,1,2,0-5,D,1,639,1,639
199927,60,60+,40,1,M,1,Married,0,13,11+,P,0,152,1,152
199878,33,26-59,15,1,M,1,Married,0,0,0-5,D,1,599,1,599
188214,16,16-25,0,1,F,0,Married,0,8,10-Jun,P,0,382,1,382
101548,19,16-25,2,1,M,1,Married,0,6,10-Jun,P,0,340,1,340
166046,62,60+,45,1,F,0,Married,0,6,10-Jun,P,0,97,1,97
138579,35,26-59,17,1,M,1,Married,0,12,11+,P,0,168,1,168
127036,16,16-25,0,1,F,0,Single,1,15,11+,D,1,622,1,622
121820,34,26-59,14,1,F,0,Married,0,12,11+,P,0,197,1,197
169545,26,26-59,8,1,M,1,Single,1,7,10-Jun,P,0,490,1,490
169825,23,16-25,4,1,M,1,Married,0,13,11+,P,0,308,1,308
144994,48,26-59,31,1,F,0,Single,1,4,0-5,D,1,581,1,581
139461,33,26-59,14,1,F,0,Married,0,8,10-Jun,P,0,325,1,325
163644,33,26-59,15,1,M,1,Married,0,1,0-5,D,1,547,1,547
129990,57,26-59,40,1,F,0,Single,1,7,10-Jun,P,0,379,1,379
131839,61,60+,41,1,F,0,Married,0,7,10-Jun,P,0,123,1,123
181986,70,60+,49,1,M,1,Married,0,1,0-5,P,0,402,1,402
154666,61,60+,40,1,M,1,Married,0,10,10-Jun,P,0,39,1,39
182160,24,16-25,5,1,M,1,Married,0,15,11+,D,1,605,1,605
177869,39,26-59,21,1,M,1,Single,1,8,10-Jun,P,0,352,1,352
110303,52,26-59,32,1,F,0,Single,1,14,11+,P,0,323,1,323
169168,25,16-25,7,1,M,1,Married,0,14,11+,P,0,180,1,180
185206,67,60+,46,1,F,0,Married,0,7,10-Jun,P,0,300,1,300
152972,25,16-25,6,1,M,1,Married,0,11,11+,D,1,584,1,584
113499,56,26-59,38,1,F,0,Single,1,6,10-Jun,P,0,484,1,484
195644,26,26-59,8,1,M,1,Married,0,9,10-Jun,P,0,425,1,425
103619,63,60+,43,1,F,0,Married,0,13,11+,P,0,41,1,41
130134,62,60+,42,1,F,0,Single,1,9,10-Jun,P,0,127,1,127
114614,52,26-59,31,1,M,1,Married,0,7,10-Jun,P,0,332,1,332
